luat,support,confidence,lift,leverage,conviction
SMALL MARSHMALLOWS PINK BOWL → SMALL DOLLY MIX DESIGN ORANGE BOWL,0.0204,0.7791,25.0616,0.0196,4.386
SMALL DOLLY MIX DESIGN ORANGE BOWL → SMALL MARSHMALLOWS PINK BOWL,0.0204,0.6569,25.0616,0.0196,2.838
WOODEN STAR CHRISTMAS SCANDINAVIAN → WOODEN HEART CHRISTMAS SCANDINAVIAN,0.0224,0.7699,24.8145,0.0215,4.211
WOODEN HEART CHRISTMAS SCANDINAVIAN → WOODEN STAR CHRISTMAS SCANDINAVIAN,0.0224,0.723,24.8145,0.0215,3.505
GREEN REGENCY TEACUP AND SAUCER + ROSES REGENCY TEACUP AND SAUCER → PINK REGENCY TEACUP AND SAUCER,0.03,0.7029,16.5202,0.0282,3.222
PINK REGENCY TEACUP AND SAUCER → GREEN REGENCY TEACUP AND SAUCER + ROSES REGENCY TEACUP AND SAUCER,0.03,0.7049,16.5202,0.0282,3.244
HAND WARMER SCOTTY DOG DESIGN → HAND WARMER OWL DESIGN,0.0202,0.6187,16.1628,0.0189,2.522
HAND WARMER OWL DESIGN → HAND WARMER SCOTTY DOG DESIGN,0.0202,0.5271,16.1628,0.0189,2.046
PINK REGENCY TEACUP AND SAUCER + ROSES REGENCY TEACUP AND SAUCER → GREEN REGENCY TEACUP AND SAUCER,0.03,0.9028,15.8912,0.0281,9.699
GREEN REGENCY TEACUP AND SAUCER → PINK REGENCY TEACUP AND SAUCER + ROSES REGENCY TEACUP AND SAUCER,0.03,0.5279,15.8912,0.0281,2.048
ROSES REGENCY TEACUP AND SAUCER → GREEN REGENCY TEACUP AND SAUCER + PINK REGENCY TEACUP AND SAUCER,0.03,0.5163,14.7046,0.0279,1.995
GREEN REGENCY TEACUP AND SAUCER + PINK REGENCY TEACUP AND SAUCER → ROSES REGENCY TEACUP AND SAUCER,0.03,0.8542,14.7046,0.0279,6.459
PINK REGENCY TEACUP AND SAUCER → GREEN REGENCY TEACUP AND SAUCER,0.0351,0.8252,14.5263,0.0327,5.396
GREEN REGENCY TEACUP AND SAUCER → PINK REGENCY TEACUP AND SAUCER,0.0351,0.618,14.5263,0.0327,2.507
DOLLY GIRL LUNCH BOX → SPACEBOY LUNCH BOX,0.026,0.6094,14.2632,0.0241,2.451
SPACEBOY LUNCH BOX → DOLLY GIRL LUNCH BOX,0.026,0.6077,14.2632,0.0241,2.44
REGENCY CAKESTAND 3 TIER + ROSES REGENCY TEACUP AND SAUCER → GREEN REGENCY TEACUP AND SAUCER,0.0219,0.7907,13.9196,0.0203,4.507
GREEN REGENCY TEACUP AND SAUCER → REGENCY CAKESTAND 3 TIER + ROSES REGENCY TEACUP AND SAUCER,0.0219,0.3852,13.9196,0.0203,1.582
GREEN REGENCY TEACUP AND SAUCER + REGENCY CAKESTAND 3 TIER → ROSES REGENCY TEACUP AND SAUCER,0.0219,0.7907,13.6128,0.0203,4.501
ROSES REGENCY TEACUP AND SAUCER → GREEN REGENCY TEACUP AND SAUCER + REGENCY CAKESTAND 3 TIER,0.0219,0.3767,13.6128,0.0203,1.56
PINK REGENCY TEACUP AND SAUCER → ROSES REGENCY TEACUP AND SAUCER,0.0332,0.7808,13.4416,0.0307,4.297
ROSES REGENCY TEACUP AND SAUCER → PINK REGENCY TEACUP AND SAUCER,0.0332,0.5719,13.4416,0.0307,2.236
WOODLAND CHARLOTTE BAG → STRAWBERRY CHARLOTTE BAG,0.0228,0.55,13.4076,0.0211,2.131
STRAWBERRY CHARLOTTE BAG → WOODLAND CHARLOTTE BAG,0.0228,0.5557,13.4076,0.0211,2.158
GARDENERS KNEELING PAD CUP OF TEA → GARDENERS KNEELING PAD KEEP CALM,0.033,0.7223,13.2107,0.0305,3.404
GARDENERS KNEELING PAD KEEP CALM → GARDENERS KNEELING PAD CUP OF TEA,0.033,0.6031,13.2107,0.0305,2.405
CHARLOTTE BAG PINK POLKADOT → STRAWBERRY CHARLOTTE BAG,0.0221,0.5379,13.1124,0.0204,2.075
STRAWBERRY CHARLOTTE BAG → CHARLOTTE BAG PINK POLKADOT,0.0221,0.5379,13.1124,0.0204,2.075
CHARLOTTE BAG PINK POLKADOT → RED RETROSPOT CHARLOTTE BAG,0.0292,0.7117,12.9311,0.0269,3.278
RED RETROSPOT CHARLOTTE BAG → CHARLOTTE BAG PINK POLKADOT,0.0292,0.5305,12.9311,0.0269,2.042
GREEN REGENCY TEACUP AND SAUCER → ROSES REGENCY TEACUP AND SAUCER,0.0427,0.7511,12.9298,0.0394,3.784
ROSES REGENCY TEACUP AND SAUCER → GREEN REGENCY TEACUP AND SAUCER,0.0427,0.7345,12.9298,0.0394,3.553
WOODLAND CHARLOTTE BAG → CHARLOTTE BAG PINK POLKADOT,0.0218,0.525,12.7981,0.0201,2.019
CHARLOTTE BAG PINK POLKADOT → WOODLAND CHARLOTTE BAG,0.0218,0.5305,12.7981,0.0201,2.041
JUMBO BAG PEARS → JUMBO BAG APPLES,0.0227,0.6801,12.6071,0.0209,2.957
JUMBO BAG APPLES → JUMBO BAG PEARS,0.0227,0.4203,12.6071,0.0209,1.668
CHARLOTTE BAG SUKI DESIGN → WOODLAND CHARLOTTE BAG,0.0252,0.5156,12.4397,0.0232,1.979
WOODLAND CHARLOTTE BAG → CHARLOTTE BAG SUKI DESIGN,0.0252,0.6074,12.4397,0.0232,2.422
STRAWBERRY CHARLOTTE BAG → RED RETROSPOT CHARLOTTE BAG,0.0279,0.6805,12.3642,0.0257,2.958
RED RETROSPOT CHARLOTTE BAG → STRAWBERRY CHARLOTTE BAG,0.0279,0.5072,12.3642,0.0257,1.946
CHOCOLATE HOT WATER BOTTLE → HOT WATER BOTTLE I AM SO POORLY,0.0231,0.4656,12.0294,0.0212,1.799
HOT WATER BOTTLE I AM SO POORLY → CHOCOLATE HOT WATER BOTTLE,0.0231,0.5969,12.0294,0.0212,2.357
STRAWBERRY CHARLOTTE BAG → CHARLOTTE BAG SUKI DESIGN,0.024,0.584,11.9605,0.022,2.286
CHARLOTTE BAG SUKI DESIGN → STRAWBERRY CHARLOTTE BAG,0.024,0.4906,11.9605,0.022,1.883
CHARLOTTE BAG PINK POLKADOT → CHARLOTTE BAG SUKI DESIGN,0.0234,0.5706,11.6866,0.0214,2.215
CHARLOTTE BAG SUKI DESIGN → CHARLOTTE BAG PINK POLKADOT,0.0234,0.4794,11.6866,0.0214,1.842
ALARM CLOCK BAKELIKE IVORY → ALARM CLOCK BAKELIKE RED,0.0208,0.6552,11.5702,0.019,2.736
ALARM CLOCK BAKELIKE RED → ALARM CLOCK BAKELIKE IVORY,0.0208,0.3681,11.5702,0.019,1.532
WOODLAND CHARLOTTE BAG → RED RETROSPOT CHARLOTTE BAG,0.0262,0.6324,11.4888,0.0239,2.57
RED RETROSPOT CHARLOTTE BAG → WOODLAND CHARLOTTE BAG,0.0262,0.4762,11.4888,0.0239,1.83
ALARM CLOCK BAKELIKE GREEN → ALARM CLOCK BAKELIKE RED,0.0343,0.6464,11.415,0.0313,2.668
ALARM CLOCK BAKELIKE RED → ALARM CLOCK BAKELIKE GREEN,0.0343,0.606,11.415,0.0313,2.403
VINTAGE HEADS AND TAILS CARD GAME → VINTAGE SNAP CARDS,0.0203,0.6044,11.3575,0.0185,2.393
VINTAGE SNAP CARDS → VINTAGE HEADS AND TAILS CARD GAME,0.0203,0.3814,11.3575,0.0185,1.562
CHARLOTTE BAG SUKI DESIGN → RED RETROSPOT CHARLOTTE BAG,0.029,0.593,10.774,0.0263,2.322
RED RETROSPOT CHARLOTTE BAG → CHARLOTTE BAG SUKI DESIGN,0.029,0.526,10.774,0.0263,2.007
ALARM CLOCK BAKELIKE PINK → ALARM CLOCK BAKELIKE RED,0.024,0.5991,10.5798,0.0217,2.353
ALARM CLOCK BAKELIKE RED → ALARM CLOCK BAKELIKE PINK,0.024,0.423,10.5798,0.0217,1.664
ALARM CLOCK BAKELIKE GREEN → ALARM CLOCK BAKELIKE PINK,0.0213,0.4018,10.0496,0.0192,1.605
ALARM CLOCK BAKELIKE PINK → ALARM CLOCK BAKELIKE GREEN,0.0213,0.5335,10.0496,0.0192,2.03
PAPER CHAIN KIT VINTAGE CHRISTMAS → PAPER CHAIN KIT 50'S CHRISTMAS,0.0328,0.6759,9.9181,0.0295,2.875
PAPER CHAIN KIT 50'S CHRISTMAS → PAPER CHAIN KIT VINTAGE CHRISTMAS,0.0328,0.4812,9.9181,0.0295,1.834
LUNCH BAG VINTAGE LEAF DESIGN → LUNCH BAG APPLE DESIGN,0.0205,0.5411,9.7119,0.0184,2.058
LUNCH BAG APPLE DESIGN → LUNCH BAG VINTAGE LEAF DESIGN,0.0205,0.3676,9.7119,0.0184,1.521
LUNCH BAG BLACK SKULL. + LUNCH BAG RED RETROSPOT → LUNCH BAG PINK POLKADOT,0.0211,0.57,9.3052,0.0188,2.183
LUNCH BAG DOLLY GIRL DESIGN → LUNCH BAG SPACEBOY DESIGN,0.021,0.574,9.073,0.0187,2.199
LUNCH BAG ALPHABET DESIGN → LUNCH BAG APPLE DESIGN,0.0207,0.4934,8.8573,0.0183,1.864
LUNCH BAG APPLE DESIGN → LUNCH BAG ALPHABET DESIGN,0.0207,0.3709,8.8573,0.0183,1.523
WOODEN PICTURE FRAME WHITE FINISH → WOODEN FRAME ANTIQUE WHITE,0.0322,0.4916,8.5803,0.0284,1.854
WOODEN FRAME ANTIQUE WHITE → WOODEN PICTURE FRAME WHITE FINISH,0.0322,0.5617,8.5803,0.0284,2.132
JUMBO BAG RED RETROSPOT + JUMBO SHOPPER VINTAGE RED PAISLEY → JUMBO STORAGE BAG SUKI,0.0234,0.5845,8.4857,0.0206,2.241
LUNCH BAG PINK POLKADOT + LUNCH BAG RED RETROSPOT → LUNCH BAG BLACK SKULL.,0.0211,0.6245,8.4402,0.0186,2.466
JUMBO STORAGE BAG SUKI → JUMBO BAG WOODLAND ANIMALS,0.0259,0.3761,8.3951,0.0228,1.531
JUMBO BAG WOODLAND ANIMALS → JUMBO STORAGE BAG SUKI,0.0259,0.5782,8.3951,0.0228,2.208
JUMBO BAG RED RETROSPOT + JUMBO STORAGE BAG SUKI → JUMBO BAG PINK POLKADOT,0.0247,0.5802,8.2275,0.0217,2.214
JUMBO BAG PINK POLKADOT → JUMBO BAG RED RETROSPOT + JUMBO STORAGE BAG SUKI,0.0247,0.35,8.2275,0.0217,1.473
PACK OF 72 SKULL CAKE CASES → PACK OF 72 RETROSPOT CAKE CASES,0.0203,0.5541,8.0515,0.0178,2.088
JUMBO BAG APPLES → JUMBO BAG ALPHABET,0.0224,0.4147,8.0418,0.0196,1.62
JUMBO BAG ALPHABET → JUMBO BAG APPLES,0.0224,0.4338,8.0418,0.0196,1.671
JUMBO BAG RED RETROSPOT + JUMBO STORAGE BAG SUKI → JUMBO SHOPPER VINTAGE RED PAISLEY,0.0234,0.5501,7.9732,0.0205,2.07
JUMBO BAG RED RETROSPOT + JUMBO SHOPPER VINTAGE RED PAISLEY → JUMBO BAG PINK POLKADOT,0.0223,0.5571,7.8992,0.0195,2.099
60 TEATIME FAIRY CAKE CASES → PACK OF 72 RETROSPOT CAKE CASES,0.0249,0.5432,7.8929,0.0218,2.038
PACK OF 72 RETROSPOT CAKE CASES → 60 TEATIME FAIRY CAKE CASES,0.0249,0.3623,7.8929,0.0218,1.496
LUNCH BAG BLACK SKULL. + LUNCH BAG PINK POLKADOT → LUNCH BAG RED RETROSPOT,0.0211,0.6628,7.8121,0.0184,2.714
JUMBO STORAGE BAG SKULLS → JUMBO STORAGE BAG SUKI,0.0222,0.536,7.7816,0.0194,2.007
LUNCH BAG BLACK SKULL. + LUNCH BAG RED RETROSPOT → LUNCH BAG SUKI DESIGN,0.021,0.5684,7.777,0.0183,2.147
LUNCH BAG RED RETROSPOT + LUNCH BAG SUKI DESIGN → LUNCH BAG BLACK SKULL.,0.021,0.5731,7.7447,0.0183,2.169
JUMBO BAG SPACEBOY DESIGN → JUMBO STORAGE BAG SUKI,0.0202,0.533,7.7386,0.0176,1.994
JUMBO BAG SCANDINAVIAN BLUE PAISLEY → JUMBO SHOPPER VINTAGE RED PAISLEY,0.0206,0.5331,7.7265,0.0179,1.994
JUMBO BAG VINTAGE LEAF → JUMBO BAG APPLES,0.0207,0.4154,7.7014,0.018,1.618
JUMBO BAG APPLES → JUMBO BAG VINTAGE LEAF,0.0207,0.3831,7.7014,0.018,1.54
JUMBO BAG WOODLAND ANIMALS → JUMBO BAG PINK POLKADOT,0.0242,0.5401,7.659,0.021,2.021
LUNCH BAG SPACEBOY DESIGN → LUNCH BAG WOODLAND,0.0255,0.4037,7.6384,0.0222,1.588
LUNCH BAG WOODLAND → LUNCH BAG SPACEBOY DESIGN,0.0255,0.4833,7.6384,0.0222,1.813
JUMBO BAG PINK POLKADOT + JUMBO BAG RED RETROSPOT → JUMBO STORAGE BAG SUKI,0.0247,0.5159,7.4905,0.0214,1.924
JUMBO STORAGE BAG SUKI → JUMBO BAG PINK POLKADOT + JUMBO BAG RED RETROSPOT,0.0247,0.3584,7.4905,0.0214,1.484
HEART OF WICKER SMALL → HEART OF WICKER LARGE,0.0294,0.4164,7.4903,0.0255,1.618
HEART OF WICKER LARGE → HEART OF WICKER SMALL,0.0294,0.5296,7.4903,0.0255,1.976
