luat,support,confidence,lift,leverage,conviction
PINK REGENCY TEACUP AND SAUCER + ROSES REGENCY TEACUP AND SAUCER → GREEN REGENCY TEACUP AND SAUCER,0.03,0.9028,15.8912,0.0281,9.699
GREEN REGENCY TEACUP AND SAUCER + PINK REGENCY TEACUP AND SAUCER → ROSES REGENCY TEACUP AND SAUCER,0.03,0.8542,14.7046,0.0279,6.459
PINK REGENCY TEACUP AND SAUCER → GREEN REGENCY TEACUP AND SAUCER,0.0351,0.8252,14.5263,0.0327,5.396
JUMBO BAG PINK POLKADOT + JUMBO SHOPPER VINTAGE RED PAISLEY → JUMBO BAG RED RETROSPOT,0.0223,0.8062,6.8885,0.0191,4.555
JUMBO BAG PINK POLKADOT + JUMBO STORAGE BAG SUKI → JUMBO BAG RED RETROSPOT,0.0247,0.802,6.8528,0.0211,4.459
REGENCY CAKESTAND 3 TIER + ROSES REGENCY TEACUP AND SAUCER → GREEN REGENCY TEACUP AND SAUCER,0.0219,0.7907,13.9196,0.0203,4.507
GREEN REGENCY TEACUP AND SAUCER + REGENCY CAKESTAND 3 TIER → ROSES REGENCY TEACUP AND SAUCER,0.0219,0.7907,13.6128,0.0203,4.501
PINK REGENCY TEACUP AND SAUCER → ROSES REGENCY TEACUP AND SAUCER,0.0332,0.7808,13.4416,0.0307,4.297
SMALL MARSHMALLOWS PINK BOWL → SMALL DOLLY MIX DESIGN ORANGE BOWL,0.0204,0.7791,25.0616,0.0196,4.386
WOODEN STAR CHRISTMAS SCANDINAVIAN → WOODEN HEART CHRISTMAS SCANDINAVIAN,0.0224,0.7699,24.8145,0.0215,4.211
GREEN REGENCY TEACUP AND SAUCER → ROSES REGENCY TEACUP AND SAUCER,0.0427,0.7511,12.9298,0.0394,3.784
JUMBO SHOPPER VINTAGE RED PAISLEY + JUMBO STORAGE BAG SUKI → JUMBO BAG RED RETROSPOT,0.0234,0.7485,6.3961,0.0197,3.511
ROSES REGENCY TEACUP AND SAUCER → GREEN REGENCY TEACUP AND SAUCER,0.0427,0.7345,12.9298,0.0394,3.553
WOODEN HEART CHRISTMAS SCANDINAVIAN → WOODEN STAR CHRISTMAS SCANDINAVIAN,0.0224,0.723,24.8145,0.0215,3.505
GARDENERS KNEELING PAD CUP OF TEA → GARDENERS KNEELING PAD KEEP CALM,0.033,0.7223,13.2107,0.0305,3.404
