luat,support,confidence,lift,leverage,conviction
SMALL MARSHMALLOWS PINK BOWL → SMALL DOLLY MIX DESIGN ORANGE BOWL,0.0204,0.7791,25.0616,0.0196,4.386
SMALL DOLLY MIX DESIGN ORANGE BOWL → SMALL MARSHMALLOWS PINK BOWL,0.0204,0.6569,25.0616,0.0196,2.838
WOODEN STAR CHRISTMAS SCANDINAVIAN → WOODEN HEART CHRISTMAS SCANDINAVIAN,0.0224,0.7699,24.8145,0.0215,4.211
WOODEN HEART CHRISTMAS SCANDINAVIAN → WOODEN STAR CHRISTMAS SCANDINAVIAN,0.0224,0.723,24.8145,0.0215,3.505
GREEN REGENCY TEACUP AND SAUCER + ROSES REGENCY TEACUP AND SAUCER → PINK REGENCY TEACUP AND SAUCER,0.03,0.7029,16.5202,0.0282,3.222
PINK REGENCY TEACUP AND SAUCER → GREEN REGENCY TEACUP AND SAUCER + ROSES REGENCY TEACUP AND SAUCER,0.03,0.7049,16.5202,0.0282,3.244
HAND WARMER SCOTTY DOG DESIGN → HAND WARMER OWL DESIGN,0.0202,0.6187,16.1628,0.0189,2.522
HAND WARMER OWL DESIGN → HAND WARMER SCOTTY DOG DESIGN,0.0202,0.5271,16.1628,0.0189,2.046
PINK REGENCY TEACUP AND SAUCER + ROSES REGENCY TEACUP AND SAUCER → GREEN REGENCY TEACUP AND SAUCER,0.03,0.9028,15.8912,0.0281,9.699
GREEN REGENCY TEACUP AND SAUCER → PINK REGENCY TEACUP AND SAUCER + ROSES REGENCY TEACUP AND SAUCER,0.03,0.5279,15.8912,0.0281,2.048
ROSES REGENCY TEACUP AND SAUCER → GREEN REGENCY TEACUP AND SAUCER + PINK REGENCY TEACUP AND SAUCER,0.03,0.5163,14.7046,0.0279,1.995
GREEN REGENCY TEACUP AND SAUCER + PINK REGENCY TEACUP AND SAUCER → ROSES REGENCY TEACUP AND SAUCER,0.03,0.8542,14.7046,0.0279,6.459
PINK REGENCY TEACUP AND SAUCER → GREEN REGENCY TEACUP AND SAUCER,0.0351,0.8252,14.5263,0.0327,5.396
GREEN REGENCY TEACUP AND SAUCER → PINK REGENCY TEACUP AND SAUCER,0.0351,0.618,14.5263,0.0327,2.507
DOLLY GIRL LUNCH BOX → SPACEBOY LUNCH BOX,0.026,0.6094,14.2632,0.0241,2.451
